No Variation 
population: 50 generations: 100 pc: 0.6 pm: 0.4
 ____________________Base_______________________ 
20:[[1.1, 42, 35, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 23.8, 43, 26.1, 9.8, 8.6, 49, 38], 3291.7368421052633, 0.04853072436418557, 1131724.4699185113, 0.022072031957590034]
21:[[1.1, 42, 35, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 23.8, 43, 26.1, 9.8, 8.6, 49, 38], 3291.7368421052633, 0.04853072436418557, 1279055.8987122073, 0.022159836951710445]
22:[[1.1, 42, 35, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 23.8, 43, 26.1, 9.8, 8.6, 49, 38], 3291.7368421052633, 0.04853072436418557, 502013.9507510687, 0.025586164935505196]
23:[[1.1, 42, 35, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 23.8, 43, 26.1, 9.8, 8.6, 49, 38], 3291.7368421052633, 0.04853072436418557, 996280.2009434929, 0.02258227166939451]
24:[[1.1, 42, 35, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 23.8, 43, 26.1, 9.8, 8.6, 49, 38], 3291.7368421052633, 0.04853072436418557, 582087.9360161221, 0.023700215458020955]
25:[[1.1, 42, 35, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 23.8, 43, 26.1, 9.8, 8.6, 49, 38], 3291.7368421052633, 0.04853072436418557, 393896.8578605312, 0.027677218507856368]
26:[[1.1, 42, 35, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 23.8, 43, 26.1, 9.8, 8.6, 49, 38], 3291.7368421052633, 0.04853072436418557, 1261869.4165145522, 0.022194237970259274]
27:[[1.1, 42, 35, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 23.8, 43, 26.1, 9.8, 8.6, 49, 38], 3291.7368421052633, 0.04853072436418557, 1254827.5194236345, 0.022776882566622168]
28:[[1.1, 42, 35, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 23.8, 43, 26.1, 9.8, 8.6, 49, 38], 3291.7368421052633, 0.04853072436418557, 1061260.2602635091, 0.022880758343530948]
29:[[1.1, 42, 35, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 23.8, 43, 26.1, 9.8, 8.6, 49, 38], 3291.7368421052633, 0.04853072436418557, 1243708.6837735216, 0.022133512990001845]
30:[[1.1, 41, 32, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 21.4, 31, 21.6, 13.8, 9.1, 39, 36], 3017.0, 0.05241745048875482, 1346892.1117719759, 0.021566751023084554]
31:[[1.1, 41, 32, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 21.4, 31, 21.6, 13.8, 9.1, 39, 36], 3017.0, 0.05241745048875482, 735536.5191611998, 0.02393405373174182]
32:[[1.1, 41, 32, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 21.4, 31, 21.6, 13.8, 9.1, 39, 36], 3017.0, 0.05241745048875482, 1473873.2480023224, 0.021929541219895585]
33:[[1.1, 41, 32, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 21.4, 31, 21.6, 13.8, 9.1, 39, 36], 3017.0, 0.05241745048875482, 1261572.0137493445, 0.022128236211878465]
34:[[1.1, 41, 32, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 21.4, 31, 21.6, 13.8, 9.1, 39, 36], 3017.0, 0.05241745048875482, 1152971.8675173589, 0.02245716290575449]
35:[[1.1, 41, 32, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 21.4, 31, 21.6, 13.8, 9.1, 39, 36], 3017.0, 0.05241745048875482, 640440.9749615111, 0.02552489327850881]
36:[[1.1, 41, 32, 30, 40, 56, 3.1, 36, 59, 27.8, 67, 35, 12.9, 21.4, 31, 21.6, 13.8, 9.1, 39, 36], 3017.0, 0.05241745048875482, 629161.8082854144, 0.024442921955497115]
